DFP1	chrI_YJM981	100.000	723	0	0	1	723	169417	168695	0.0	1336
DFP1	chrI_YJM981	73.548	155	41	0	355	509	173505	173659	1.00e-07	60.2
DFP1	chrI_YJM981	82.979	47	8	0	397	443	177864	177910	0.010	43.6
DFP1	chrI_YJM981	86.486	37	5	0	397	433	176803	176839	0.036	41.7
DFP1	chrI_RM	100.000	723	0	0	1	723	158593	157871	0.0	1336
DFP1	chrI_RM	73.548	155	41	0	355	509	163016	163170	1.00e-07	60.2
DFP1	chrI_RM	82.979	47	8	0	397	443	167379	167425	0.010	43.6
DFP1	chrI_RM	86.486	37	5	0	397	433	166318	166354	0.036	41.7
DFP1	chrI_273614	99.723	723	2	0	1	723	161524	160802	0.0	1325
DFP1	chrI_273614	72.258	155	43	0	355	509	165534	165688	2.17e-04	49.1
DFP1	chrI_273614	82.979	47	8	0	397	443	169900	169946	0.010	43.6
DFP1	chrI_273614	86.486	37	5	0	397	433	168839	168875	0.036	41.7
DFP1	chrI_CLIB219	99.308	723	5	0	1	723	170041	169319	0.0	1308
DFP1	chrI_CLIB219	82.979	47	8	0	397	443	180435	180481	0.010	43.6
DFP1	chrI_CLIB219	76.744	86	12	5	397	478	176026	176107	0.036	41.7
DFP1	chrI_CLIB219	80.851	47	5	4	174	218	38894	38850	6.1	34.4
DFP1	chrI_YJM978	99.033	724	6	1	1	723	171086	170363	0.0	1297
DFP1	chrI_YJM978	77.907	86	11	5	397	478	188836	188917	7.79e-04	47.3
DFP1	chrI_YJM978	82.979	47	8	0	397	443	193263	193309	0.010	43.6
DFP1	chrI_I14	98.893	723	8	0	1	723	161363	160641	0.0	1291
DFP1	chrI_I14	73.548	155	41	0	355	509	165105	165259	1.00e-07	60.2
DFP1	chrI_I14	82.979	47	8	0	397	443	177465	177511	0.010	43.6
DFP1	chrI_I14	76.744	86	12	5	397	478	169772	169853	0.036	41.7
DFP1	chrI_I14	82.609	46	8	0	393	438	172050	172095	0.036	41.7
DFP1	chrI_I14	74.390	82	21	0	397	478	175307	175388	1.7	36.2
DFP1	chrI_CLIB413	98.755	723	9	0	1	723	175652	174930	0.0	1286
DFP1	chrI_CLIB413	72.903	155	42	0	355	509	179660	179814	4.66e-06	54.7
DFP1	chrI_CLIB413	82.979	47	8	0	397	443	184036	184082	0.010	43.6
DFP1	chrI_BY	98.755	723	8	1	1	723	180772	180051	0.0	1284
DFP1	chrI_BY	72.903	155	42	0	355	509	184860	185014	4.66e-06	54.7
DFP1	chrI_BY	82.979	47	8	0	397	443	189242	189288	0.010	43.6
DFP1	chrI_Y10	98.479	723	11	0	1	723	184267	183545	0.0	1275
DFP1	chrI_Y10	73.548	155	41	0	355	509	188351	188505	1.00e-07	60.2
DFP1	chrI_Y10	82.979	47	8	0	397	443	192714	192760	0.010	43.6
DFP1	chrI_Y10	86.486	37	5	0	397	433	191653	191689	0.036	41.7
DFP1	chrI_YPS1009	98.340	723	12	0	1	723	180070	179348	0.0	1269
DFP1	chrI_YPS1009	73.548	155	41	0	355	509	182522	182676	1.00e-07	60.2
DFP1	chrI_YPS1009	82.979	47	8	0	397	443	188181	188227	0.010	43.6
DFP1	chrI_YPS163	98.340	723	12	0	1	723	164899	164177	0.0	1269
DFP1	chrI_YPS163	82.979	47	8	0	397	443	181175	181221	0.010	43.6
DFP1	chrI_YPS163	82.609	46	8	0	393	438	176845	176890	0.036	41.7
DFP1	chrI_YPS163	80.952	42	8	0	397	438	174646	174687	6.1	34.4
DFP1	chrI_CBS2888	98.202	723	9	2	1	723	167703	166985	0.0	1260
DFP1	chrI_CBS2888	73.548	155	41	0	355	509	171438	171592	1.00e-07	60.2
DFP1	chrI_CBS2888	82.979	47	8	0	397	443	177134	177180	0.010	43.6
DFP1	chrI_CBS2888	86.486	37	5	0	397	433	176046	176082	0.036	41.7
DFP1	chrI_YJM454	88.701	708	61	13	19	723	171061	170370	0.0	846
DFP1	chrI_YJM454	73.554	121	32	0	358	478	180964	181084	7.79e-04	47.3
DFP1	chrI_YJM454	77.333	75	16	1	397	470	179281	179355	0.010	43.6
DFP1	chrI_YJM454	86.486	37	5	0	473	509	174934	174970	0.036	41.7
DFP1	chrI_YJM454	84.211	38	6	0	397	434	177044	177081	0.47	38.1
DFP1	chrI_YJM145	88.701	708	61	13	19	723	164687	163996	0.0	846
DFP1	chrI_YJM145	73.554	121	32	0	358	478	180513	180633	7.79e-04	47.3
DFP1	chrI_YJM145	77.333	75	16	1	397	470	178830	178904	0.010	43.6
DFP1	chrI_YJM145	86.486	37	5	0	473	509	174483	174519	0.036	41.7
DFP1	chrI_YJM145	84.211	38	6	0	397	434	176593	176630	0.47	38.1
DFP1	chrI_M22	88.701	708	61	13	19	723	171059	170368	0.0	846
DFP1	chrI_M22	73.554	121	32	0	358	478	180962	181082	7.79e-04	47.3
